i1,i2,exp1,exp2,CFR,loglk
1.0, 7.0, 9.865067673197174, 38.221185147020215, 0.09613383078561676, -4503.656969800212
2.0, 3.0, 11.432009505804006, 76.71297972056644, 0.09603608645515933, -4440.967235104188
3.0, 53.0, 87.09645479227876, 11.516611500748557, 0.09252431714369037, -4433.134252005631
4.0, 53.0, 64.45193281827652, 11.071413167874589, 0.09401226847135483, -4490.93798173044
5.0, 51.0, 46.99736318242705, 10.630803868692595, 0.09391365134317939, -4495.329505252075
6.0, 51.0, 42.14536884833621, 10.32821557546615, 0.09448305972132913, -4490.391561896191
7.0, 51.0, 39.57734098127941, 9.895129021133682, 0.09476727647959218, -4511.522699557257
8.0, 51.0, 36.86053259930254, 9.609034405535619, 0.09508309385188576, -4528.661774747441
9.0, 51.0, 34.17063732477577, 9.45493560542687, 0.09540643749719648, -4508.526786168104
10.0, 51.0, 32.219098636821926, 9.252236558278417, 0.09563704520963746, -4496.130742491989
11.0, 51.0, 30.635276025842785, 9.042974224370084, 0.09582015709573279, -4490.661890017614
12.0, 51.0, 29.079560213261587, 8.909384869826928, 0.09600710345110045, -4477.093592507821
13.0, 51.0, 27.425621846995366, 8.90491972635392, 0.09621710594531739, -4448.221752407546
14.0, 51.0, 25.749346768674968, 9.019389064491362, 0.0964402983688921, -4405.464258706809
15.0, 51.0, 24.297334199743588, 9.148095961096653, 0.09663532348325181, -4362.944404605664
16.0, 50.0, 22.8634133686583, 9.052781518597781, 0.09642493118418796, -4337.031811861147
17.0, 50.0, 22.017462761235436, 9.067262334449863, 0.09655869517156046, -4319.084264555325
18.0, 50.0, 21.112960861491075, 9.189744280837978, 0.09671302125054793, -4290.509247068726
19.0, 50.0, 20.49486629195212, 9.176896763235847, 0.09680915953683449, -4272.7974407056
20.0, 50.0, 20.018249709391352, 9.09655900313071, 0.09687541447751687, -4265.26201479439
21.0, 50.0, 19.35351876920162, 9.224685816954677, 0.09699418687874037, -4245.138110401618
22.0, 50.0, 18.65617227740553, 9.459422319120529, 0.09713108314708632, -4218.205718227001
23.0, 50.0, 18.207089903622677, 9.509654627040511, 0.09721251250897602, -4203.285163371035
24.0, 50.0, 17.836670364121485, 9.515304840417961, 0.09728759145167803, -4195.055288216331
25.0, 50.0, 17.37449569274752, 9.684027394860138, 0.09741953907756039, -4178.851617660365
26.0, 50.0, 16.97903944840942, 9.82669486010655, 0.09759328828503436, -4165.9022283102695
27.0, 50.0, 16.657475130594637, 9.915460346514127, 0.0978370430673953, -4155.600158240335
28.0, 50.0, 16.478800587052625, 9.80887702111094, 0.0981303084727581, -4152.552564516615
29.0, 50.0, 16.35099582061711, 9.658085460733872, 0.09836019870922946, -4152.288671433648
30.0, 50.0, 16.240872389353363, 9.557199116148778, 0.09839556962916382, -4150.953005644074
31.0, 50.0, 16.204399651250466, 9.305099300202627, 0.09840257483124329, -4152.627835531931
32.0, 50.0, 16.338206854734448, 8.618147455324534, 0.09841345616680049, -4165.927519246402
33.0, 50.0, 16.41013757174065, 8.001293703289146, 0.0984254662807554, -4181.289535558472
34.0, 43.0, 15.628060473560929, 5.575768100961588, 0.09827499392265203, -4180.722919487766
35.0, 43.0, 15.481597133060475, 5.370093647833427, 0.09828428821874555, -4175.595030914332
36.0, 43.0, 15.313135544838504, 5.306200291551219, 0.09829346652817043, -4165.000056032887
37.0, 43.0, 15.123371665880041, 5.449416499492633, 0.09830345525172038, -4152.437021977372
38.0, 43.0, 14.947481785474698, 5.566470052687988, 0.0983125177593829, -4138.567730899373
39.0, 43.0, 14.853075963455195, 4.823216191758003, 0.09831866998720065, -4134.242143304797
40.0, 43.0, 14.785145655016898, 3.3513545591496703, 0.09832196104046773, -4135.948160189332
41.0, 43.0, 14.654297601249581, 2.2442438137363636, 0.09832820477357739, -4130.426894409368
42.0, 43.0, 14.500383649048464, 0.8878319513015844, 0.09833613775461558, -4116.026439188417
43.0, 50.0, 14.615804022277873, 10.27467365624816, 0.09842928168158244, -4102.090847668774
44.0, 50.0, 14.541300803869024, 10.272122635389243, 0.09843075965109545, -4099.576690148388
45.0, 50.0, 14.592360629652228, 9.058647214390973, 0.0984567879920033, -4104.278951106955
46.0, 50.0, 14.54333846619, 8.54020182606646, 0.09846931679756901, -4104.182276673763
47.0, 50.0, 14.458509359100557, 8.33260246042694, 0.09847591703103863, -4101.286815662718
48.0, 50.0, 14.382602616466942, 7.85998419606642, 0.09848461657516552, -4098.732961838254
49.0, 49.0, 14.281153200806104, 1.3054550623650663, 0.09842177194133483, -4096.8852950745295
50.0, 53.0, 13.614306956004263, 23.72899870904328, 0.09749834718813358, -4104.235479245988
51.0, 53.0, 13.411338727324013, 35.16503359731155, 0.09680944447158667, -4123.14625015111
52.0, 53.0, 13.13886065228531, 74.26968794789849, 0.09573605579122531, -4160.224971801823
